Customer Name,Buyer Segmentation,Year,Month,XWR,Total Qty
S PAL ENTERPRISES PVT LTD,Loyal Customers,2017,April,75200.00,16
SUNRISE ENTERPRISES,Loyal Customers,2017,April,75300.00,16
SUNRISE ENTERPRISES,Loyal Customers,2017,April,75300.00,16
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,75780.00,9.94
SHRIRAM AXIALL PVT. LTD.,Loyal Customers,2017,April,76000.00,5
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,75780.00,9.48
MANGLAM POLYVINYLS,Loyal Customers,2017,April,75154.00,7
SHRIRAM AXIALL PVT. LTD.,Loyal Customers,2017,April,76000.00,20
ACME PLASTICS,Loyal Customers,2017,April,75404.00,2.8
AMBA POLY PLAST LIMITED,At Risk Customer,2017,April,74500.00,14
DELVIN PLASTICS PVT LTD (UNIT-II),Loyal Customers,2017,April,74349.00,1
DELVIN PLASTICS PVT LTD (UNIT-II),Loyal Customers,2017,April,74349.00,1
DELVIN PLASTICS PVT LTD (UNIT-II),Loyal Customers,2017,April,74349.00,1
EVEREST CABLES & CONNECTORS PV,Customers Needing Attention,2017,April,75704.00,5
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,75780.00,9.2
HIMGIRI ENTERPRISES PVT. LTD,Loyal Customers,2017,April,75849.00,5
MAHAVIR PIPES,About To Sleep,2017,April,74704.00,9
MANGLAM POLYMERS,Loyal Customers,2017,April,76050.00,19
RAJKAMAL INDUSTRIES,Loyal Customers,2017,April,76400.00,1
SHIV POLY PLAST,Loyal Customers,2017,April,76000.00,2.5
SHIVAM POLYMERS,At Risk Customer,2017,April,75804.00,2
SIDDHARTH UDHYOG,Loyal Customers,2017,April,76000.00,16
UMESH UDYOG,Loyal Customers,2017,April,76400.00,1
DELVIN PLASTICS PVT LTD,Loyal Customers,2017,April,74349.00,10
DELVIN PLASTICS PVT LTD (UNIT-II),Loyal Customers,2017,April,74349.00,5
DELVIN PLASTICS PVT LTD (UNIT-II),Loyal Customers,2017,April,74349.00,4
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,75780.00,9.96
RAJKAMAL INDUSTRIES,Loyal Customers,2017,April,76400.00,1
ATUL PUMPS PRIVATE LIMITED(UNIT-II),Loyal Customers,2017,April,74000.00,10
ATUL PUMPS PRIVATE LIMITED(UNIT-II),Loyal Customers,2017,April,74000.00,1
ATUL PUMPS PRIVATE LIMITED(UNIT-II),Loyal Customers,2017,April,74000.00,1.5
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,72780.00,5.5
KESHAV INDUSTRIES,Loyal Customers,2017,April,75750.00,2.95
NEELGIRI ELECTRICALS,Loyal Customers,2017,April,73900.00,16
RAJDOOT CABLES PVT. LTD.,Customers Needing Attention,2017,April,74204.00,5
SHIV POLY PLAST,Loyal Customers,2017,April,74900.00,2.55
SHRIRAM AXIALL PVT. LTD.,Loyal Customers,2017,April,75250.00,5
SUNRISE ENTERPRISES,Loyal Customers,2017,April,73800.00,14
SUNRISE ENTERPRISES,Loyal Customers,2017,April,74300.00,2
SUNRISE ENTERPRISES,Loyal Customers,2017,April,73800.00,14.05
AMBICA POLYTUBES,Loyal Customers,2017,April,73500.00,0.5
AMBICA POLYTUBES,Loyal Customers,2017,April,73500.00,12
AMBICA POLYTUBES,Loyal Customers,2017,April,73500.00,5.45
AMBICA POLYTUBES,Loyal Customers,2017,April,73500.00,7.05
AMBICA POLYTUBES,Loyal Customers,2017,April,73500.00,12.5
AMBICA POLYTUBES,Loyal Customers,2017,April,73500.00,7.5
AMBICA POLYTUBES,Loyal Customers,2017,April,73500.00,5
BANSAL AGENCIES,Customers Needing Attention,2017,April,73592.00,22
BANSAL AGENCIES,Customers Needing Attention,2017,April,73592.00,17
DELVIN PLASTICS PVT LTD,Loyal Customers,2017,April,73849.00,10
DELVIN PLASTICS PVT LTD (UNIT-II),Loyal Customers,2017,April,73849.00,9
DELVIN PLASTICS PVT LTD (UNIT-II),Loyal Customers,2017,April,73849.00,1
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,72780.00,5.14
